Número de operación,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Comisión USD,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
187,Entrada en largo,2026-04-02 09:30,Long Fade,567.36,3,1702.08,19.72,1.16,2,32.6,1.91,-2.68,-0.16,-1093.69,-10.94,12
188,Salida en largo,2026-04-23 15:30,Cierre EOD,659.23,3,1982.97,-7.28,-0.37,2,24.62,1.24,-24.4,-1.23,-1100.97,-11.01,12
188,Entrada en largo,2026-04-23 09:30,Long Fade,660.99,3,1982.97,-7.28,-0.37,2,24.62,1.24,-24.4,-1.23,-1100.97,-11.01,12
189,Salida en largo,2026-04-30 15:30,Cierre EOD,612.01,3,1811.91,22.12,1.22,2,46.79,2.58,-12.91,-0.71,-1078.85,-10.79,12
189,Entrada en largo,2026-04-30 09:30,Long Fade,603.97,3,1811.91,22.12,1.22,2,46.79,2.58,-12.91,-0.71,-1078.85,-10.79,12
190,Salida en largo,2026-07-09 15:30,Cierre EOD,631.46,3,1771.56,120.82,6.82,2,127.22,7.18,-1.66,-0.09,-958.03,-9.58,12
190,Entrada en largo,2026-07-09 09:30,Long Fade,590.52,3,1771.56,120.82,6.82,2,127.22,7.18,-1.66,-0.09,-958.03,-9.58,12
191,Salida en largo,2026-07-17 15:30,Cierre EOD,646.02,3,1925.94,10.12,0.53,2,29.69,1.54,-48.94,-2.54,-947.91,-9.48,12
191,Entrada en largo,2026-07-17 09:30,Long Fade,641.98,3,1925.94,10.12,0.53,2,29.69,1.54,-48.94,-2.54,-947.91,-9.48,12
192,Salida en largo,2026-07-23 15:30,Cierre EOD,605.96,3,1832.28,-16.4,-0.89,2,0,0.00,-41.77,-2.28,-964.31,-9.64,12
192,Entrada en largo,2026-07-23 09:30,Long Fade,610.76,3,1832.28,-16.4,-0.89,2,0,0.00,-41.77,-2.28,-964.31,-9.64,12
193,Salida en largo,2026-07-30 15:30,Cierre EOD,539.08,4,2129.16,25.16,1.18,2,29.28,1.37,-20.16,-0.95,-939.15,-9.39,12
193,Entrada en largo,2026-07-30 09:30,Long Fade,532.29,4,2129.16,25.16,1.18,2,29.28,1.37,-20.16,-0.95,-939.15,-9.39,12
194,Salida en largo,2026-08-18 15:30,Cierre EOD,544,4,2191.28,-17.28,-0.79,2,30.36,1.38,-19.16,-0.87,-956.43,-9.56,12
194,Entrada en largo,2026-08-18 09:30,Long Fade,547.82,4,2191.28,-17.28,-0.79,2,30.36,1.38,-19.16,-0.87,-956.43,-9.56,12
